cFECHAINI,CELULAR,cbstart,cbend,cFECHAFIN
2023-06-24 21:27:41.37,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,100,2023-06-25 00:26:22.73
2023-06-24 21:24:10.05,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,7,2023-06-24 21:27:37.59
2023-06-24 21:27:41.37,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,100,2023-06-25 00:26:22.73
2023-06-27 01:59:06.01,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,100,2023-06-27 04:23:08.04
2023-06-27 06:43:02.15,11c8011f-41cb-49d7-bf2f-d277977d01a1,25,29,2023-06-27 08:18:39.99
2023-06-27 08:36:58.71,11c8011f-41cb-49d7-bf2f-d277977d01a1,28,41,2023-06-27 09:03:11.84
2023-06-27 09:03:51.42,11c8011f-41cb-49d7-bf2f-d277977d01a1,41,96,2023-06-27 10:28:32.20
2023-06-27 01:59:06.01,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,100,2023-06-27 04:23:08.04
2023-06-28 09:45:41.26,11c8011f-41cb-49d7-bf2f-d277977d01a1,29,48,2023-06-28 10:14:46.85
2023-06-28 12:06:49.07,11c8011f-41cb-49d7-bf2f-d277977d01a1,31,38,2023-06-28 12:18:12.25
2023-06-28 13:32:23.41,11c8011f-41cb-49d7-bf2f-d277977d01a1,25,37,2023-06-28 13:51:44.92
2023-06-28 23:09:26.60,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,9,2023-06-28 23:27:44.03
2023-06-28 23:53:59.62,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,8,2023-06-29 00:02:49.93
2023-06-29 00:02:52.18,f44e072b-5325-4d79-a16f-b4f1f9271fda,8,13,2023-06-29 00:08:53.85
2023-06-28 15:08:46.72,11c8011f-41cb-49d7-bf2f-d277977d01a1,17,34,2023-06-28 15:29:29.06
2023-06-29 03:46:17.54,11c8011f-41cb-49d7-bf2f-d277977d01a1,11,35,2023-06-29 04:11:36.37
2023-06-29 05:46:44.26,11c8011f-41cb-49d7-bf2f-d277977d01a1,35,47,2023-06-29 06:23:22.62
2023-06-29 06:23:31.55,11c8011f-41cb-49d7-bf2f-d277977d01a1,47,48,2023-06-29 06:27:11.40
2023-06-29 06:32:33.91,11c8011f-41cb-49d7-bf2f-d277977d01a1,48,54,2023-06-29 09:43:18.39
2023-06-29 15:44:27.70,11c8011f-41cb-49d7-bf2f-d277977d01a1,23,38,2023-06-29 16:02:05.25
2023-06-29 19:31:31.75,f44e072b-5325-4d79-a16f-b4f1f9271fda,2,4,2023-06-29 19:33:15.37
2023-06-29 19:33:18.37,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,5,2023-06-29 19:34:40.57
2023-06-29 19:35:50.17,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,7,2023-06-29 19:43:06.20
2023-06-29 19:43:09.79,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,9,2023-06-29 19:49:05.36
2023-06-29 19:52:30.03,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,10,2023-06-29 20:01:26.15
2023-06-29 20:01:35.42,f44e072b-5325-4d79-a16f-b4f1f9271fda,10,11,2023-06-29 20:07:58.17
2023-06-29 20:07:59.44,f44e072b-5325-4d79-a16f-b4f1f9271fda,11,12,2023-06-29 20:20:10.60
2023-06-29 20:47:41.61,11c8011f-41cb-49d7-bf2f-d277977d01a1,19,37,2023-06-29 21:29:01.46
2023-06-30 00:43:58.16,11c8011f-41cb-49d7-bf2f-d277977d01a1,20,100,2023-06-30 09:10:57.95
2023-06-30 12:38:10.86,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,9,2023-06-30 12:52:44.62
2023-06-30 12:53:09.10,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,11,2023-06-30 13:04:41.32
2023-06-30 13:04:45.69,f44e072b-5325-4d79-a16f-b4f1f9271fda,11,12,2023-06-30 13:08:03.04
2023-06-30 13:08:08.14,f44e072b-5325-4d79-a16f-b4f1f9271fda,12,14,2023-06-30 13:16:57.84
2023-06-30 13:24:45.71,f44e072b-5325-4d79-a16f-b4f1f9271fda,14,16,2023-06-30 13:35:48.83
2023-06-30 14:02:04.37,f44e072b-5325-4d79-a16f-b4f1f9271fda,11,14,2023-06-30 14:05:06.04
2023-06-30 14:41:18.73,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,13,2023-06-30 15:00:29.89
2023-07-01 01:54:39.63,f44e072b-5325-4d79-a16f-b4f1f9271fda,3,4,2023-07-01 01:58:41.11
2023-07-01 02:13:59.60,f44e072b-5325-4d79-a16f-b4f1f9271fda,3,4,2023-07-01 02:16:14.53
2023-07-01 02:20:32.08,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,5,2023-07-01 02:23:53.54
2023-07-01 02:24:03.50,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,7,2023-07-01 02:29:47.67
2023-07-01 06:41:04.89,11c8011f-41cb-49d7-bf2f-d277977d01a1,28,70,2023-07-01 07:51:16.12
2023-07-01 12:51:20.90,f44e072b-5325-4d79-a16f-b4f1f9271fda,3,4,2023-07-01 12:55:18.86
2023-07-01 12:55:39.21,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,7,2023-07-01 13:04:27.94
2023-07-01 13:04:29.35,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,13,2023-07-01 13:33:45.13
2023-07-01 13:33:47.22,f44e072b-5325-4d79-a16f-b4f1f9271fda,13,16,2023-07-01 13:50:04.52
2023-07-01 18:54:05.41,f44e072b-5325-4d79-a16f-b4f1f9271fda,8,9,2023-07-01 19:35:03.67
2023-07-01 19:28:45.02,11c8011f-41cb-49d7-bf2f-d277977d01a1,14,19,2023-07-01 19:34:11.95
2023-07-01 19:37:19.37,11c8011f-41cb-49d7-bf2f-d277977d01a1,19,24,2023-07-01 19:42:34.83
2023-07-01 19:44:54.26,11c8011f-41cb-49d7-bf2f-d277977d01a1,24,41,2023-07-01 20:23:08.97
2023-07-01 20:34:29.82,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,7,2023-07-01 20:54:41.48
2023-07-01 21:40:36.39,f44e072b-5325-4d79-a16f-b4f1f9271fda,7,14,2023-07-01 21:47:51.00
2023-07-01 22:00:33.66,f44e072b-5325-4d79-a16f-b4f1f9271fda,14,15,2023-07-01 22:00:47.33
2023-07-01 23:01:16.90,f44e072b-5325-4d79-a16f-b4f1f9271fda,15,17,2023-07-01 23:03:18.13
2023-07-02 02:25:18.91,f44e072b-5325-4d79-a16f-b4f1f9271fda,3,9,2023-07-02 02:47:48.98
2023-07-02 02:47:52.42,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,12,2023-07-02 03:01:40.35
2023-07-02 03:01:47.29,f44e072b-5325-4d79-a16f-b4f1f9271fda,12,29,2023-07-02 05:34:02.73
2023-07-02 05:34:18.44,f44e072b-5325-4d79-a16f-b4f1f9271fda,28,29,2023-07-02 05:44:24.70
2023-07-02 05:44:25.06,f44e072b-5325-4d79-a16f-b4f1f9271fda,29,43,2023-07-02 06:38:51.77
2023-07-02 05:44:25.06,f44e072b-5325-4d79-a16f-b4f1f9271fda,29,43,2023-07-02 06:38:51.77
2023-07-01 23:35:09.55,11c8011f-41cb-49d7-bf2f-d277977d01a1,18,96,2023-07-02 07:58:13.50
2023-07-02 11:39:14.53,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,5,2023-07-02 11:39:34.23
2023-07-02 11:39:49.54,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,6,2023-07-02 11:43:38.33
2023-07-02 12:04:19.43,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,5,2023-07-02 12:06:55.16
2023-07-02 12:08:14.03,f44e072b-5325-4d79-a16f-b4f1f9271fda,5,6,2023-07-02 12:19:06.98
2023-07-02 12:19:10.06,f44e072b-5325-4d79-a16f-b4f1f9271fda,6,9,2023-07-02 12:31:05.30
2023-07-02 12:36:28.25,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,10,2023-07-02 12:38:10.20
2023-07-02 12:51:39.55,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,10,2023-07-02 12:54:00.74
2023-07-02 12:59:49,f44e072b-5325-4d79-a16f-b4f1f9271fda,10,11,2023-07-02 13:00:52.32
2023-07-02 13:08:51.29,f44e072b-5325-4d79-a16f-b4f1f9271fda,11,14,2023-07-02 13:22:35.25
2023-07-02 16:13:06.99,f44e072b-5325-4d79-a16f-b4f1f9271fda,4,9,2023-07-02 16:17:57.05
2023-07-02 16:18:15.22,f44e072b-5325-4d79-a16f-b4f1f9271fda,9,62,2023-07-02 17:14:13.06
2023-07-03 03:36:38.91,f44e072b-5325-4d79-a16f-b4f1f9271fda,19,20,2023-07-03 03:43:44.19
2023-07-03 04:18:07.65,f44e072b-5325-4d79-a16f-b4f1f9271fda,19,20,2023-07-03 04:26:51.04
2023-07-03 05:39:31.57,11c8011f-41cb-49d7-bf2f-d277977d01a1,15,70,2023-07-03 09:59:01.54
2023-07-03 04:26:54.82,f44e072b-5325-4d79-a16f-b4f1f9271fda,20,100,2023-07-03 10:18:54.72
2023-07-03 10:23:44.17,11c8011f-41cb-49d7-bf2f-d277977d01a1,60,62,2023-07-03 10:39:17.58
2023-07-03 10:39:18.18,11c8011f-41cb-49d7-bf2f-d277977d01a1,62,92,2023-07-03 11:25:11.90
